"sampleid","DISEASE","IFI6","MX1","NMI","OAS3","OASL","SAMD9","UBE2L6"
"GSM1228917",0,0.0500450847456681,0.0413591322927863,0.0714135633321022,0.0455135941035149,0.068106188944766,0.0379844620075019,0.0537649611891227
"GSM1228918",0,0.0333536713646387,0.0594042439194435,0,0.0396975495489277,0.0376620356159734,0.122249554463874,0.110750480255476
"GSM1228919",1,0.846213740505964,0.842123756969172,0.717148379422686,0.788454523239867,0.911688689251567,1,1
"GSM1228920",1,0.395320186299533,0.55401840793586,0.54338762606872,0.554808675533166,0.464600809034243,0.501194959335047,0.624152545254448
"GSM1228921",1,0.168567801405584,0.180758352475601,0.472708015310704,0.158684870115046,0.206183602392634,0.242610154181899,0.366712315483655
"GSM1228922",1,0.256175031727269,0.247847919658723,0.260500595520185,0.247942144962226,0.276626471662454,0.143427682546108,0.208581026401101
"GSM1228923",1,0.165315637390567,0.192171517414739,0.212909711143233,0.182195018298444,0.166457168709932,0.185507697215008,0.411561784847024
"GSM1228924",1,0.117705376916988,0.0496677061340428,0.0511582154277132,0.0287038859376912,0.110676356217025,0.0011157386474995,0.0530248910996959
"GSM1228925",1,0.382460911789689,0.446393611765845,0.228490354233526,0.444376608596607,0.267903492479878,0.282910185188627,0.328625877288245
"GSM1228926",1,0.330648001402921,0.229989769152121,0.281709272944465,0.204209819507188,0.214255443567029,0.229935177409686,0.15719701027241
"GSM1228927",1,0.143905043027437,0.153492652740439,0.249205552642713,0.0943045947839874,0.145587970885228,0.0516111893246251,0.323392642591537
"GSM1228928",1,0.212773577746789,0.187293098682339,0.167163684084203,0.204723744915417,0.118036777908911,0.340915934294589,0.282572796980587
"GSM1228929",1,0.251803547031624,0.347095407326319,0.294609065107408,0.299190333142545,0.365544269044909,0.422763159929918,0.321109881631074
"GSM1228930",1,0.397158583374531,0.549790154902092,0.376130854326073,0.459994893807654,0.444404004830839,0.487768924598501,0.59649947460805
"GSM1228931",1,0.199875665727334,0.287334492817182,0.420104703003529,0.222329522694817,0.295104328875139,0.305992346657269,0.459568046957742
"GSM1228932",1,0.611489558830053,0.745950799559115,0.59556179196339,0.686678639295298,0.812893968839423,0.744411895609122,0.834580608476101
"GSM1228933",1,0.0841012957181115,0.090270551625033,0.238492937694622,0.0815338195986955,0.127662390973353,0.207459016691171,0.355592397203558
"GSM1228934",1,0.14518797717014,0.0586037410371596,0.303745531176591,0.0768712879182002,0.125250701499151,0.0876542055125524,0.467261410671664
"GSM1228935",1,0.249920224187378,0.198403372563428,0.21811142411227,0.147255235653159,0.152191440596227,0.123070181838807,0.141728495330211
"GSM1228936",1,0.1362645395436,0.175311625871523,0.108268671276337,0.115657607506309,0.165819970440541,0.142857355189025,0.398194921669442
"GSM1228937",1,0.264466546214826,0.47161104331275,0.175869847854228,0.219335020209529,0.486204570996638,0.376426071316506,0.398832405743656
"GSM1228938",1,0.32840182535343,0.419313815487132,0.240210798600657,0.321364227955688,0.391577236627055,0.333759189433508,0.520685264959848
"GSM1228939",1,0.569123523082665,0.509239017327088,0.397401891553557,0.383744186711196,0.350704486155945,0.26783428890931,0.475814867162728
"GSM1228940",1,0.433400399716439,0.535144662399519,0.49434792476498,0.311983074929244,0.461916379952678,0.411994724137646,0.381970386829484
"GSM1509610",1,0.356768758273387,0.366318828942966,0.239075233570408,0.261404859991984,0.320420383514393,0.265958346162138,0.324107717812573
"GSM1509611",1,0.366484846715884,0.366382271013786,0.237910246915595,0.263424951711251,0.31665944190997,0.260443335608749,0.32535113182214
"GSM1509612",1,0.236673049318015,0.319200799983245,0.23049295586317,0.140738719461548,0.193708227110189,0.209661327480416,0.291503124340389
"GSM1509613",1,0.265587267476418,0.323035799374412,0.2401194422567,0.147930708155996,0.207160055800435,0.207898726533947,0.300935587599954
"GSM1509614",1,0.371742558305248,0.380128571535527,0.255286164565911,0.272195626762801,0.355424194225902,0.287423088172341,0.335768948975634
"GSM1509615",1,0.379657361413573,0.381686701076046,0.244915240891942,0.274938023669845,0.352775669912384,0.294852855821122,0.33515110062837
"GSM1509616",1,0.376125967870121,0.381285645671363,0.25207140345018,0.26762414520631,0.351049835647797,0.278644674021912,0.328547948524328
"GSM1509617",1,0.375661146584112,0.381791434055489,0.254850265122267,0.278395437521632,0.370268680124849,0.30091472882561,0.33904804424678
"GSM1509618",1,0.353895555591902,0.370036050130255,0.244790319332013,0.255308635619672,0.307302875612236,0.278700913903131,0.309914235790295
"GSM1509619",1,0.198623588718616,0.295738341404656,0.221983591168788,0.139596600711878,0.181781621154282,0.199448634033122,0.287542936351755
"GSM1509620",1,0.330815610587177,0.358527914985134,0.242439723830134,0.23285717305304,0.308498201230594,0.258820767053672,0.311270955864898
"GSM1509621",1,0.370581798152164,0.384892781889375,0.24718694991146,0.273404694051641,0.347294464087402,0.291829841769924,0.325991485075869
"GSM1509622",1,0.325247861472812,0.336727480947014,0.212314744770078,0.22216191592679,0.238776521723381,0.199729945067048,0.312048280049439
"GSM1509623",1,0.361515938092622,0.374034550671471,0.246766091276851,0.258939696285071,0.339841549347972,0.264087540440694,0.325770978678635
"GSM1509624",1,0.369267155282817,0.380957056810223,0.249718831122198,0.267602991421189,0.349314021860375,0.275646830220278,0.325839370305733
"GSM1509625",1,0.35318476253677,0.369051781116606,0.234253341619841,0.25464942227158,0.322559045882446,0.280093961268224,0.322794143871903
"GSM1509626",1,0.359511417931008,0.370568249925676,0.233623709068847,0.258371104944386,0.324795741469072,0.257860689972788,0.320684341427116
"GSM1509627",1,0.372179338152893,0.381308338607889,0.246973660073142,0.267178864956848,0.359208994050811,0.287052793325679,0.331184652186428
"GSM1509628",1,0.392334247684179,0.373097856525066,0.247910519518519,0.261374698791031,0.331692267262261,0.276300746101271,0.331479968090573
"GSM1509629",1,0.377914706900162,0.375238357232138,0.243895564578174,0.266187156009686,0.331604562679519,0.273902103797126,0.332782661153489
"GSM1509630",1,0.285069114046488,0.319881658413674,0.237587466231204,0.192565468196923,0.246049092986202,0.210562692981022,0.333023351522281
"GSM1509631",1,0.351632594455412,0.370904449812903,0.24364590352136,0.250831265476,0.308628250448472,0.25255144590438,0.339760641508063
"GSM1509632",1,0.375994303216102,0.378282288569844,0.240992738562392,0.268552818216515,0.34664430210979,0.291721988902165,0.329550870173681
"GSM1509633",1,0.375421355620644,0.375769000563155,0.250589884661271,0.264366952559685,0.327792941434351,0.267039612947975,0.341385626140405
"GSM1509634",1,0.269824631349137,0.316970693156948,0.233117746902258,0.172477982617964,0.252429112735782,0.212075258750877,0.313762987899806
"GSM1509635",1,0.259889694551961,0.312582497981748,0.237977989010587,0.16153984655967,0.240007198882468,0.217031299709043,0.298250040186325
"GSM1509636",1,0.213263633171136,0.295128896720773,0.241616809821023,0.14745941163169,0.209594780149151,0.207925373086473,0.324543365201579
"GSM1509637",1,0.390774601965184,0.385063975236639,0.251855933366475,0.28206918634546,0.369039349702456,0.309531625655919,0.338831307144028
"GSM1509638",1,0.362168987326555,0.376645784244544,0.253649650873374,0.264222430347939,0.350502473724387,0.300648532603587,0.335810937436373
"GSM1509639",1,0.356696790802081,0.354001866996466,0.213776815362424,0.246463099003287,0.261726807909356,0.219641353187365,0.312740095602871
"GSM1509640",1,0.361986809749367,0.375800420817789,0.240827811873021,0.26147912079507,0.33927847705048,0.285989457056693,0.332755101309433
"GSM1509641",1,0.290698887422893,0.348603157916656,0.23065433215049,0.189603658233161,0.214542441561689,0.209062674662549,0.305945165046773
"GSM1509642",1,0.346030952092021,0.366506212828553,0.218878507182378,0.254795095563904,0.298755349046725,0.238981373413152,0.326144779005642
"GSM1509643",1,0.347195025930606,0.36621054398015,0.235948160840911,0.249883253339483,0.309573992774067,0.267059494460901,0.323712995987571
"GSM1509644",1,0.324882524440365,0.35368146678605,0.209988324190287,0.240997977411495,0.27022090249671,0.208798064663576,0.323797565148099
"GSM1509645",1,0.374126578105067,0.382475953679288,0.252533610168959,0.273690820717344,0.363842765641459,0.286708129466965,0.33480228869721
"GSM1509646",1,0.378011147246546,0.37810281949356,0.249959265101875,0.268479277184679,0.342878138318941,0.283303562639057,0.336254811636116
"GSM1509647",1,0.393594917213063,0.377841020678215,0.248379422619838,0.261008229863221,0.352533387768196,0.278742532045623,0.343153055323598
"GSM1509648",1,0.368454970684123,0.384178638402502,0.253605947967717,0.272321752428746,0.365406357832967,0.298309133021178,0.342474297868456
"GSM1509649",1,0.253985163709123,0.329597719673021,0.225300545574631,0.174849288591485,0.230791274532071,0.218181351695466,0.30635387383461
"GSM1509650",1,0.300071006889988,0.351397206838624,0.229395252126376,0.220466605451284,0.268794252837368,0.221777627272208,0.312466466713254
"GSM1509651",1,0.396707457502837,0.388081006669963,0.263476476685576,0.283474224753997,0.37841158345937,0.296777699363278,0.347698358600562
"GSM1509652",1,0.32645656116063,0.36385330602023,0.235529746166546,0.23878543832845,0.306781656830059,0.251885567967815,0.322431366913434
"GSM1509653",1,0.392760278174497,0.384676256926896,0.25442068230383,0.282780365713897,0.377164969509263,0.297831239369711,0.344935748498832
"GSM1509654",1,0.360637418100635,0.374226571590467,0.250227493900817,0.259146472095128,0.349231103673518,0.292441487795578,0.320364542814779
"GSM1509655",1,0.385605412316349,0.382300552278899,0.25276789700362,0.268690627604447,0.355000844254671,0.284139176075903,0.335295598546493
"GSM1509656",1,0.367193008369995,0.374393264933038,0.24991645589851,0.267775316975567,0.334347570261303,0.285540583722241,0.330529427594851
"GSM1509657",1,0.389963606567517,0.377693129593417,0.244377837398284,0.267537910936103,0.351836035316763,0.30587438918392,0.332581337690733
