"spec","env","r","p","rd","pd"
"NMI","Class-switched memory B-cells",0.236856607521743,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","DC",0.119726284333368,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Epithelial cells",0.431666912175388,0.0099009900990099,">= 0.4","< 0.01"
"NMI","Erythrocytes",0.241796596073454,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Keratinocytes",0.512455342502109,0.0099009900990099,">= 0.4","< 0.01"
"NMI","Macrophages",0.392721596684804,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Macrophages M1",0.417648300645743,0.0099009900990099,">= 0.4","< 0.01"
"NMI","Melanocytes",0.110639515160506,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Memory B-cells",0.206959202024143,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","MEP",0.275840451915092,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Monocytes.x",0.206300872449917,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","MPP",0.212623619621566,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","MSC",0.0481919866163197,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","Neutrophils.x",0.464806535361605,0.0099009900990099,">= 0.4","< 0.01"
"NMI","pDC",0.249854972183003,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Pericytes",0.163213822435616,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Plasma cells",0.219571693090324,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","pro B-cells",0.321900357765764,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Sebocytes",0.487186508701275,0.0099009900990099,">= 0.4","< 0.01"
"NMI","Smooth muscle",0.174725118570744,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Tgd cells",0.26045961648354,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Th1 cells",0.441254058320014,0.0099009900990099,">= 0.4","< 0.01"
"NMI","Th2 cells",0.263700890100588,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Tregs",0.190234552496025,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","ImmuneScore",0.161353608337808,0.0099009900990099,"< 0.2","< 0.01"
"NMI","StromalScore_estimate",0.0711368528290288,0.0396039603960396,"< 0.2","0.01 - 0.05"
"NMI","ImmuneScore_estimate",0.166678212753669,0.0099009900990099,"< 0.2","< 0.01"
"NMI","TumorPurity_estimate",0.058502777692967,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","B_cells_quantiseq",0.0918472914765052,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","Macrophages_M1_quantiseq",0.133935440762664,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Neutrophils_quantiseq",0.104900384890406,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","T_cells_CD4_quantiseq",0.116225631325718,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","T_cells_CD8_quantiseq",0.220281782422221,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Dendritic_cells_quantiseq",0.0679174276381047,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","MHC_IPS",0.0981616934892248,0.0099009900990099,"< 0.2","< 0.01"
"NMI","EC_IPS",0.182959018780874,0.0099009900990099,"< 0.2","< 0.01"
"NMI","CP_IPS",0.24124091935682,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","B_cells_naive",0.0944379118678824,0.0396039603960396,"< 0.2","0.01 - 0.05"
"NMI","T_cells_CD8",0.235205389328851,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","T_cells_CD4_memory_activated",0.398513875880768,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","T_cells_follicular_helper",0.257150792605293,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","T_cells_gamma_delta",0.140659511197793,0.0099009900990099,"< 0.2","< 0.01"
"NMI","Macrophages_M1",0.327298107733715,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Dendritic_cells_activated",0.439270785691944,0.0099009900990099,">= 0.4","< 0.01"
"NMI","Mast_cells_activated",0.213495285413106,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Neutrophils.y",0.431666619804387,0.0099009900990099,">= 0.4","< 0.01"
"OAS3","T_cells_MCPcounter",0.11416937306407,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","NK_cells_MCPcounter",0.104061342725515,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Neutrophils_MCPcounter",0.179304142170939,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Endothelial_cells_MCPcounter",0.239923621024856,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Fibroblasts_MCPcounter",0.195547419517065,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","aDC",0.309794886094574,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","B-cells",0.273260830993635,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Basophils",0.0984464591837385,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","CD4+ memory T-cells",0.276859096884389,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","CD4+ Tem",0.318821878203767,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","CD8+ Tcm",0.277496778413169,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","CD8+ Tem",0.243879325567263,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Class-switched memory B-cells",0.305681733703717,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","DC",0.116408639826579,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Epithelial cells",0.413496277968595,0.0099009900990099,">= 0.4","< 0.01"
"OAS3","Erythrocytes",0.268321518380437,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","iDC",0.075856609952845,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","Keratinocytes",0.442151599912455,0.0099009900990099,">= 0.4","< 0.01"
"OAS3","Macrophages",0.314675375812462,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Macrophages M1",0.363556495908845,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Melanocytes",0.0830045582104705,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","Memory B-cells",0.294897404610268,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","MEP",0.226700302213169,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Monocytes.x",0.18247242452618,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","MPP",0.309647566313513,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","MSC",0.0735963644648719,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","naive B-cells",0.103011544629146,0.0396039603960396,"< 0.2","0.01 - 0.05"
"OAS3","Neutrophils.x",0.413064491291175,0.0099009900990099,">= 0.4","< 0.01"
"OAS3","NKT",0.0707609782350112,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","pDC",0.313737830743592,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Pericytes",0.209263666492535,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Plasma cells",0.267162402302936,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","pro B-cells",0.387809664173678,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Sebocytes",0.472340226310376,0.0099009900990099,">= 0.4","< 0.01"
"OAS3","Smooth muscle",0.126205705699792,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Tgd cells",0.229309505267573,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Th1 cells",0.358346207580997,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Th2 cells",0.209189904390982,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Tregs",0.157101897464813,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","ImmuneScore",0.157602087231807,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","ImmuneScore_estimate",0.134025226309242,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","B_cells_quantiseq",0.119413165216682,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Macrophages_M1_quantiseq",0.0923002631952397,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","T_cells_CD8_quantiseq",0.106254856335551,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Tregs_quantiseq",0.0878335249927552,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","Dendritic_cells_quantiseq",0.0706078133562661,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","MHC_IPS",0.11713989319919,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","EC_IPS",0.124978166533838,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","CP_IPS",0.195519710842602,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","B_cells_naive",0.206418242944463,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","T_cells_CD8",0.204751407821512,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","T_cells_CD4_memory_activated",0.405443490095163,0.0099009900990099,">= 0.4","< 0.01"
"OAS3","T_cells_follicular_helper",0.198253667728253,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","NK_cells_resting",0.141961115386511,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Macrophages_M1",0.335086759106064,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Dendritic_cells_activated",0.414746720944414,0.0099009900990099,">= 0.4","< 0.01"
"OAS3","Mast_cells_activated",0.217070585764306,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Neutrophils.y",0.387014023003997,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","T_cells_MCPcounter",0.149829143515914,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Monocytic_lineage_MCPcounter",0.137191422387746,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Neutrophils_MCPcounter",0.29103488984423,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Endothelial_cells_MCPcounter",0.318960758270855,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Fibroblasts_MCPcounter",0.307672486140236,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","aDC",0.298110792882008,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","B-cells",0.275682407035624,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Basophils",0.134156333763371,0.0099009900990099,"< 0.2","< 0.01"
"OASL","CD4+ memory T-cells",0.306296144935461,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","CD4+ Tem",0.252093086478001,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","CD8+ naive T-cells",0.0641487684558098,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OASL","CD8+ Tcm",0.31327889068225,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","CD8+ Tem",0.203010549762471,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Class-switched memory B-cells",0.288552732392522,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","DC",0.144694055629779,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Epithelial cells",0.518095964445554,0.0099009900990099,">= 0.4","< 0.01"
"OASL","Erythrocytes",0.297578166707005,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","iDC",0.0851494879445022,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Keratinocytes",0.521238343934262,0.0099009900990099,">= 0.4","< 0.01"
"OASL","Macrophages",0.303624284984198,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Macrophages M1",0.365455238906376,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Melanocytes",0.134563119495585,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Memory B-cells",0.310034749565755,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","MEP",0.210333211574254,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Monocytes.x",0.127577837768888,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OASL","MPP",0.185595111984095,0.0099009900990099,"< 0.2","< 0.01"
"OASL","MSC",0.0741947336027334,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OASL","naive B-cells",0.114340338957527,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Neurons",0.0998657795196535,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Neutrophils.x",0.467920842639642,0.0099009900990099,">= 0.4","< 0.01"
"OASL","pDC",0.276600169359698,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Pericytes",0.204169361849732,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Plasma cells",0.280436405593405,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","pro B-cells",0.361521200831747,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Sebocytes",0.494227263225216,0.0099009900990099,">= 0.4","< 0.01"
"OASL","Smooth muscle",0.176562534621911,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Tgd cells",0.272792722312733,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Th1 cells",0.360604783319946,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Th2 cells",0.206947229817281,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Tregs",0.318460478175666,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","ImmuneScore",0.179254199947814,0.0099009900990099,"< 0.2","< 0.01"
"OASL","StromalScore_estimate",0.0834805407198149,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OASL","ImmuneScore_estimate",0.172663695510273,0.0099009900990099,"< 0.2","< 0.01"
"OASL","B_cells_quantiseq",0.133646386121123,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Macrophages_M1_quantiseq",0.0818030096159769,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OASL","T_cells_CD4_quantiseq",0.167369114111518,0.0099009900990099,"< 0.2","< 0.01"
"OASL","T_cells_CD8_quantiseq",0.206087690486231,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Tregs_quantiseq",0.078648505005932,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OASL","Dendritic_cells_quantiseq",0.133091286281714,0.0099009900990099,"< 0.2","< 0.01"
"OASL","MHC_IPS",0.0789859853215521,0.0495049504950495,"< 0.2","0.01 - 0.05"
